2026-07-19 10:36:05 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: shrink_pullback (shrink_pullback.yaml)
2026-07-19 10:36:05 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: volume_breakout (volume_breakout.yaml)
2026-07-19 10:36:05 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: wave_theory (wave_theory.yaml)
2026-07-19 10:36:07 | INFO     | uvicorn.error | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/server.py:91 | Started server process [5490]
2026-07-19 10:36:07 | INFO     | uvicorn.error | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/lifespan/on.py:48 | Waiting for application startup.
2026-07-19 10:36:07 | INFO     | src.user_store | src/user_store.py:143 | User store initialised with default admin user 'admin'. Please change the default password after first login.
2026-07-19 10:36:07 | INFO     | uvicorn.error | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/lifespan/on.py:62 | Application startup complete.
2026-07-19 10:36:07 | INFO     | uvicorn.error | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/server.py:222 | Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-07-19 10:36:07 | INFO     | __main__ | main.py:1109 | FastAPI 服务已启动: http://127.0.0.1:8000
2026-07-19 10:36:09 | INFO     | src.services.stock_index_remote_service | src/services/stock_index_remote_service.py:246 | [stock-index] remote index refreshed: /workspace/new/daily_stock_analysis/data/cache/stocks.index.json
2026-07-19 10:36:09 | INFO     | api.app | api/app.py:194 | [stock-index] background refresh completed (startup): /workspace/new/daily_stock_analysis/data/cache/stocks.index.json
2026-07-19 10:36:10 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET / HTTP/1.1" 200
2026-07-19 10:36:10 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/index-5DEovjUw.css HTTP/1.1" 200
2026-07-19 10:36:10 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /assets/vendor-react-BzB2o5Ol.js HTTP/1.1" 200
2026-07-19 10:36:10 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /assets/vendor-icons-CxRPbIbn.js HTTP/1.1" 200
